diacritical_marks_vietnamese,no_accents_mark_vietnamese
Thứ Hai được không?,Thu Hai duoc khong?
Tom có ở đó không?,Tom co o do khong?
Trời đang mưa.,Troi dang mua.
Quá dễ.,Qua de.
Việc này thật là khó.,Viec nay that la kho.
Đó là luật.,Do la luat.
Cứ tiếp tục nhìn đi.,Cu tiep tuc nhin di.
Cứ tiếp tục xem đi.,Cu tiep tuc xem di.
Để Tom ở lại.,De Tom o lai.
Hãy để Tom đợi.,Hay de Tom doi.
Hãy để tôi mơ mộng.,Hay de toi mo mong.
Để tôi mơ đi.,De toi mo di.
Thử nó xem sao.,Thu no xem sao.
Thử nó đi.,Thu no di.
Mắt tớ đau.,Mat to dau.
Mắt tôi bị đau.,Mat toi bi dau.
Giờ chúng ta đi thôi nào.,Gio chung ta di thoi nao.
Cô ấy thích nó.,Co ay thich no.
Dừng ghi hình.,Dung ghi hinh.
Cái đó là của tôi.,Cai do la cua toi.
Đó là đĩa CD của tôi.,Do la dia CD cua toi.
Tom giúp đỡ chúng tôi.,Tom giup do chung toi.
Tom thích nó lắm.,Tom thich no lam.
Tom từng là một người nghèo.,Tom tung la mot nguoi ngheo.
Đừng tin một ai.,Dung tin mot ai.
Đừng tin ai hết.,Dung tin ai het.
Đừng tin bất cứ ai.,Dung tin bat cu ai.
Thật khó tin!,That kho tin!
Thật là khó tin!,That la kho tin!
Thật không thể tin được!,That khong the tin duoc!
Chúng ta cần cả hai.,Chung ta can ca hai.
Ai xây cái kia vậy?,Ai xay cai kia vay?
Ai đã xây cái kia vậy?,Ai da xay cai kia vay?
Ai là người đã xây cái kia vậy ạ?,Ai la nguoi da xay cai kia vay a?
Sao cậu chưa đi đi?,Sao cau chua di di?
Bạn thật hống hách.,Ban that hong hach.
Bạn khó chiều quá.,Ban kho chieu qua.
Hãy hỏi bất kỳ người phụ nữ nào.,Hay hoi bat ky nguoi phu nu nao.
Lại đây nào.,Lai day nao.
Lại đây.,Lai day.
Lại đây đi.,Lai day di.
Anh ấy đã đào một cái hố.,Anh ay da dao mot cai ho.
Ông ấy đã đào một cái hố.,Ong ay da dao mot cai ho.
Thật đẹp làm sao!,That dep lam sao!
Tôi không thể tiếp tục.,Toi khong the tiep tuc.
Tôi đã có thể làm điều này.,Toi da co the lam dieu nay.
Tôi đã có thể làm được.,Toi da co the lam duoc.
Tôi cảm thấy cô đơn.,Toi cam thay co don.
Tớ ghét di chuyển.,To ghet di chuyen.
Tôi có một cuốn sách.,Toi co mot cuon sach.
Tôi biết Boston.,Toi biet Boston.
Tôi có biết Boston.,Toi co biet Boston.
Tôi chơi môn quần vợt.,Toi choi mon quan vot.
Tôi sẽ giết bạn.,Toi se giet ban.
Tôi sẽ cho bạn xem.,Toi se cho ban xem.
Tôi sẽ cho bạn thấy.,Toi se cho ban thay.
Tom có ở đó không?,Tom co o do khong?
Tom có nổi tiếng không vậy?,Tom co noi tieng khong vay?
Không đúng hả?,Khong dung ha?
Điều đó không đúng ư?,Dieu do khong dung u?
Tình hình trở nên xấu đi.,Tinh hinh tro nen xau di.
Nó trở nên tệ hơn.,No tro nen te hon.
Trời đang mưa.,Troi dang mua.
Cái đó dùng tốt lắm.,Cai do dung tot lam.
Dùng được lắm.,Dung duoc lam.
Rất hiệu quả.,Rat hieu qua.
Bây giờ là hai giờ rưỡi.,Bay gio la hai gio ruoi.
Bây giờ là 2 giờ rưỡi.,Bay gio la 2 gio ruoi.
Bây giờ là 2 rưỡi.,Bay gio la 2 ruoi.
Đó là một vũ khí.,Do la mot vu khi.
Nó dễ như ăn bánh vậy.,No de nhu an banh vay.
To quá.,To qua.
Hãy hưởng thụ đi.,Hay huong thu di.
Ở yên đó.,O yen do.
Hãy giữ liên lạc nhé.,Hay giu lien lac nhe.
Giữ liên lạc nhé.,Giu lien lac nhe.
Hãy giữ liên lạc nhé.,Hay giu lien lac nhe.
Giữ liên lạc nhé.,Giu lien lac nhe.
Hãy để nó ở đây.,Hay de no o day.
Để anh ấy làm đi.,De anh ay lam di.
Để nó làm đi.,De no lam di.
Để tui làm xong đã.,De tui lam xong da.
Để tôi hoàn tất.,De toi hoan tat.
Chúng ta về nhà thôi.,Chung ta ve nha thoi.
Chúng ta về nhà thôi nào.,Chung ta ve nha thoi nao.
Tôi có thể hỏi tại sao không?,Toi co the hoi tai sao khong?
Con về nhà được không?,Con ve nha duoc khong?
Tôi có thể về nhà không?,Toi co the ve nha khong?
Tôi đau đầu gối quá.,Toi dau dau goi qua.
"Ờ, xin lỗi nghe.","O, xin loi nghe."
Cô ấy là mẫu người của tôi.,Co ay la mau nguoi cua toi.
Bạn thích làm gì thì làm.,Ban thich lam gi thi lam.
Thích làm gì thì làm.,Thich lam gi thi lam.
Hãy quét phòng tôi.,Hay quet phong toi.
Quét phòng tôi đi.,Quet phong toi di.
Hãy đưa tôi đến đó.,Hay dua toi den do.
Hãy đưa tôi tới nơi đó.,Hay dua toi toi noi do.
Tất cả họ đều đã rời đi.,Tat ca ho deu da roi di.
Họ đang say rượu.,Ho dang say ruou.
Họ đang say.,Ho dang say.
Đó là một cách chơi chữ.,Do la mot cach choi chu.
Thời gian là vàng.,Thoi gian la vang.
Tom đã mua nó.,Tom da mua no.
Tom đã mua thứ đó.,Tom da mua thu do.
Tom đã mua cái đó.,Tom da mua cai do.
Tom là một người tục tĩu.,Tom la mot nguoi tuc tiu.
Tom rất vui.,Tom rat vui.
Tom đã lại thắng một lần nữa.,Tom da lai thang mot lan nua.
Chúng tôi sẽ giấu nó.,Chung toi se giau no.
Chúng ta là kẻ thù với nhau.,Chung ta la ke thu voi nhau.
Chúng tôi đã quá già.,Chung toi da qua gia.
Chúng ta đã quá già.,Chung ta da qua gia.
Bạn đang ở đâu?,Ban dang o dau?
Ai nói thế?,Ai noi the?
bạn có thể làm được,ban co the lam duoc
Bạn biết điều này.,Ban biet dieu nay.
Bạn trông tái nhợt.,Ban trong tai nhot.
Bạn có thể vào.,Ban co the vao.
Đang đùa đấy à!,Dang dua day a!
Bạn có đói bụng không?,Ban co doi bung khong?
Tom có phản đối không?,Tom co phan doi khong?
Bạn thích làm gì thì làm.,Ban thich lam gi thi lam.
Thích làm gì thì làm.,Thich lam gi thi lam.
Bạn thích làm gì thì làm đi!,Ban thich lam gi thi lam di!
Bạn có nhớ tôi không?,Ban co nho toi khong?
Bạn nhớ tôi không?,Ban nho toi khong?
Em nhớ anh không?,Em nho anh khong?
Anh nhớ em không?,Anh nho em khong?
Đừng làm ướt nó.,Dung lam uot no.
Cả Tom cũng khóc.,Ca Tom cung khoc.
Hãy đi dạo một chút đi.,Hay di dao mot chut di.
Bạn đi dạo một tí đi.,Ban di dao mot ti di.
Anh ấy sống một mình.,Anh ay song mot minh.
Chìa khóa của tôi đây.,Chia khoa cua toi day.
Tôi là một thằng nhóc hay mắc cỡ.,Toi la mot thang nhoc hay mac co.
Tôi đi làm bằng xe đạp.,Toi di lam bang xe dap.
Tôi không lái.,Toi khong lai.
Tôi không hiểu.,Toi khong hieu.
Tôi không lấy được nó.,Toi khong lay duoc no.
Tôi không có nó.,Toi khong co no.
Tôi đã ly hôn.,Toi da ly hon.
Tôi đã li hôn.,Toi da li hon.
Tôi ghét luật sư.,Toi ghet luat su.
Tôi ghét cuộc đời mình.,Toi ghet cuoc doi minh.
Tôi ghét đời mình.,Toi ghet doi minh.
Tôi ghét đời tôi.,Toi ghet doi toi.
Tôi có ước mơ.,Toi co uoc mo.
Tôi đã tiếp tục chạy.,Toi da tiep tuc chay.
Tôi thích lịch sử.,Toi thich lich su.
Tôi thích môn lịch sử.,Toi thich mon lich su.
Tôi cần phải nghỉ ngơi.,Toi can phai nghi ngoi.
Tao nợ nó 100 đô la.,Tao no no 100 do la.
Tôi muốn một con dao.,Toi muon mot con dao.
Tớ muốn ở lại.,To muon o lai.
Tôi thà không.,Toi tha khong.
Tôi sẽ ở lại đây.,Toi se o lai day.
Tôi sẽ đợi ở đây.,Toi se doi o day.
Tôi đợi ở đây nhé.,Toi doi o day nhe.
Tôi sẽ đợi ở đây nhé.,Toi se doi o day nhe.
Tôi sẽ chờ ở đây.,Toi se cho o day.
Tôi sẽ chờ ở đây nhé.,Toi se cho o day nhe.
Tôi là một người vô thần.,Toi la mot nguoi vo than.
Hôm nay tôi rảnh.,Hom nay toi ranh.
Tôi rảnh hôm nay.,Toi ranh hom nay.
Tùy bạn.,Tuy ban.
Để tôi một mình.,De toi mot minh.
Mặc kệ tôi đi!,Mac ke toi di!
Chúng ta về nhà thôi.,Chung ta ve nha thoi.
Chúng ta về nhà thôi nào.,Chung ta ve nha thoi nao.
Tôi hôn bạn được chứ?,Toi hon ban duoc chu?
Tôi hôn bạn được không?,Toi hon ban duoc khong?
Tôi có thể ngồi đây được không?,Toi co the ngoi day duoc khong?
Đàn ông ai cũng ngu.,Dan ong ai cung ngu.
Chơi một giai điệu cho chúng tôi đi.,Choi mot giai dieu cho chung toi di.
Cô ấy thích nó.,Co ay thich no.
Cô ấy thích điều đó.,Co ay thich dieu do.
Cô ấy chơi nhạc Bach.,Co ay choi nhac Bach.
Tôi có nên trả lời không?,Toi co nen tra loi khong?
Tao có nên trả lời không?,Tao co nen tra loi khong?
Nói thật đi.,Noi that di.
Hãy nói thật đi.,Hay noi that di.
Hãy nói sự thật đi.,Hay noi su that di.
Ánh mắt họ chạm nhau.,Anh mat ho cham nhau.
Họ đã đến.,Ho da den.
Cái này tuỳ vào bạn.,Cai nay tuy vao ban.
Tom không thể ở lại.,Tom khong the o lai.
Tom không ở lại được.,Tom khong o lai duoc.
Tom không xấu xí.,Tom khong xau xi.
Tom không xấu.,Tom khong xau.
tại sao bạn hỏi,tai sao ban hoi
Bạn đã nói dối chúng tôi.,Ban da noi doi chung toi.
Bạn đã sai.,Ban da sai.
Chúng ta đã xong chưa?,Chung ta da xong chua?
Bạn có bị thương không?,Ban co bi thuong khong?
Bạn có bị thương chỗ nào không?,Ban co bi thuong cho nao khong?
Bạn có khát nước không?,Ban co khat nuoc khong?
Hãy gọi tôi bất cứ lúc nào.,Hay goi toi bat cu luc nao.
Xin chúc mừng!,Xin chuc mung!
Chúc mừng!,Chuc mung!
Chúc mừng,Chuc mung
Có nhớ tôi không?,Co nho toi khong?
Bạn có xem TV không?,Ban co xem TV khong?
Đừng đến đây.,Dung den day.
Đừng nói dối tôi.,Dung noi doi toi.
Đừng nhìn xuống.,Dung nhin xuong.
Đừng dừng lại ở đây.,Dung dung lai o day.
Mọi người đã đợi.,Moi nguoi da doi.
Mọi người đã chờ đợi.,Moi nguoi da cho doi.
Tất cả mọi người đã chờ đợi.,Tat ca moi nguoi da cho doi.
Tất cả mọi người đều đã chờ đợi.,Tat ca moi nguoi deu da cho doi.
Tất cả mọi người đều đã đợi.,Tat ca moi nguoi deu da doi.
Đưa nó cho tôi.,Dua no cho toi.
Đi ngủ đi.,Di ngu di.
Anh ấy không có tiền.,Anh ay khong co tien.
Nó có một máy ảnh.,No co mot may anh.
Nó có một máy ghi hình.,No co mot may ghi hinh.
Anh ấy có một máy ảnh.,Anh ay co mot may anh.
Anh ấy có một chiếc máy ảnh.,Anh ay co mot chiec may anh.
Ông ấy có một chiếc máy ảnh.,Ong ay co mot chiec may anh.
Anh ấy đang nuôi mười con bò.,Anh ay dang nuoi muoi con bo.
Anh ấy đã thất nghiệp.,Anh ay da that nghiep.
Anh ấy đã trở nên thất nghiệp.,Anh ay da tro nen that nghiep.
Anh ấy là người tốt.,Anh ay la nguoi tot.
Ông ấy là người tốt.,Ong ay la nguoi tot.
Bạn bao nhiêu tuổi?,Ban bao nhieu tuoi?
Mày bao nhiêu tuổi?,May bao nhieu tuoi?
Tôi bị đau cả người.,Toi bi dau ca nguoi.
Tôi cũng đã làm điều đó.,Toi cung da lam dieu do.
Tôi có thể đã chết.,Toi co the da chet.
Tôi đi làm bằng xe đạp.,Toi di lam bang xe dap.
Tôi ghét đi mua sắm.,Toi ghet di mua sam.
Tôi có tin xấu.,Toi co tin xau.
Tôi có hai con mèo.,Toi co hai con meo.
Tôi thích cười.,Toi thich cuoi.
Tôi đã ngủ cả ngày.,Toi da ngu ca ngay.
Tớ từng bị bắt cóc.,To tung bi bat coc.
Anh sẽ nhớ em.,Anh se nho em.
Tôi sẽ nhớ bạn.,Toi se nho ban.
tao sẽ nhớ mày.,tao se nho may.
con sẽ nhớ mẹ lắm.,con se nho me lam.
Tôi định mua một chiếc xe ô tô Ford.,Toi dinh mua mot chiec xe o to Ford.
Tôi định sẽ mua một chiếc xe hơi Ford.,Toi dinh se mua mot chiec xe hoi Ford.
Tôi sắp xong rồi.,Toi sap xong roi.
Tôi đang nóng.,Toi dang nong.
Tôi đang bị nóng.,Toi dang bi nong.
Tôi rất sợ.,Toi rat so.
Tôi khá là kén chọn.,Toi kha la ken chon.
Tôi là một người rất kén chọn.,Toi la mot nguoi rat ken chon.
Tôi đang xem ti vi.,Toi dang xem ti vi.
Tôi đang coi ti vi.,Toi dang coi ti vi.
Tôi đang xem vô tuyến.,Toi dang xem vo tuyen.
Có ai ở nhà không?,Co ai o nha khong?
Có ai ở nhà không ạ?,Co ai o nha khong a?
Có ai ở đó không?,Co ai o do khong?
Cái này có to quá không?,Cai nay co to qua khong?
Hôm nay là ngày phát lương à?,Hom nay la ngay phat luong a?
Hôm nay là ngày phát lương có đúng không?,Hom nay la ngay phat luong co dung khong?
Có lẽ là trời sắp mưa.,Co le la troi sap mua.
Chắc có lẽ trời sắp mưa rồi.,Chac co le troi sap mua roi.
Đó là tất cả những gì mà tôi cần.,Do la tat ca nhung gi ma toi can.
Nó là buổi tiệc của bạn.,No la buoi tiec cua ban.
Giữ ghế của các bạn.,Giu ghe cua cac ban.
Đi bằng ôtô nhé.,Di bang oto nhe.
Chúng ta hãy vào trong nào.,Chung ta hay vao trong nao.
Hôm nay chúng ta kết thúc ở đây.,Hom nay chung ta ket thuc o day.
Cuộc sống không dễ dàng gì.,Cuoc song khong de dang gi.
Cuộc đời không công bằng.,Cuoc doi khong cong bang.
Chúc mừng giáng sinh!,Chuc mung giang sinh!
Natto ăn có cảm giác dinh dính.,Natto an co cam giac dinh dinh.
Cô ấy là bác sĩ.,Co ay la bac si.
Nó yếu quá.,No yeu qua.
Cô ấy quá yếu.,Co ay qua yeu.
Bà ấy yếu quá.,Ba ay yeu qua.
Đó là xe của anh ta.,Do la xe cua anh ta.
Thế là quá nhiều.,The la qua nhieu.
Họ sẽ giúp bọn mình,Ho se giup bon minh
Họ đang bị mắc kẹt.,Ho dang bi mac ket.
Chiếc xe này là của ổng.,Chiec xe nay la cua ong.
Chiếc xe này là của ông ta.,Chiec xe nay la cua ong ta.
Chiếc xe này là của ông ấy.,Chiec xe nay la cua ong ay.
Chiếc xe này là của hắn.,Chiec xe nay la cua han.
Chiếc xe này là của anh ấy.,Chiec xe nay la cua anh ay.
Đây là phòng của tôi.,Day la phong cua toi.
Đây là rượu vang của tôi.,Day la ruou vang cua toi.
Mấy thứ đó của Tom.,May thu do cua Tom.
Tom đã đi theo tôi.,Tom da di theo toi.
Tom là nhà văn.,Tom la nha van.
Tom quá trễ rồi.,Tom qua tre roi.
Tom cũng bằng tuổi cậu.,Tom cung bang tuoi cau.
Tom không ngây thơ.,Tom khong ngay tho.
Tom đã đạt được một thỏa thuận.,Tom da dat duoc mot thoa thuan.
Tom tin tưởng Mary.,Tom tin tuong Mary.
Mặt Tom tái mét lại.,Mat Tom tai met lai.
Tom đã được nhận nuôi.,Tom da duoc nhan nuoi.
Tôm bị đau.,Tom bi dau.
Tom từng là sếp của tôi.,Tom tung la sep cua toi.
Tom đã bị choáng.,Tom da bi choang.
Tom đã không may mắn.,Tom da khong may man.
Không phải nó kinh khủng lắm ư?,Khong phai no kinh khung lam u?
Hãy nhìn thật kỹ.,Hay nhin that ky.
chúng tôi là giáo viên.,chung toi la giao vien.
Chúng tôi đến để giúp.,Chung toi den de giup.
Chúng tôi đã gặp một ông nhà văn.,Chung toi da gap mot ong nha van.
Chúng tôi đã đi bộ rất nhiều.,Chung toi da di bo rat nhieu.
Cái chìa khóa ở đâu?,Cai chia khoa o dau?
Bạn đã gặp ai vậy?,Ban da gap ai vay?
Bạn đã gặp ai thế?,Ban da gap ai the?
Sao cô ta lại ở đây chứ?,Sao co ta lai o day chu?
Tại sao cô ấy lại ở đây vậy?,Tai sao co ay lai o day vay?
Bạn nhìn ngốc quá.,Ban nhin ngoc qua.
Bạn sẽ bị lạc đấy.,Ban se bi lac day.
Mày sẽ thích Tom.,May se thich Tom.
Bạn chẳng là ai cả.,Ban chang la ai ca.
Họ có nghiêm túc không?,Ho co nghiem tuc khong?
Cuối cùng thì anh ấy đã tới.,Cuoi cung thi anh ay da toi.
Cuối cùng thì ông ấy cũng đã đến.,Cuoi cung thi ong ay cung da den.
Lúc nào điện cho tôi nhé.,Luc nao dien cho toi nhe.
Bạn có thể giúp Tom không?,Ban co the giup Tom khong?
Anh có trông thấy bọn họ không?,Anh co trong thay bon ho khong?
Bạn thích làm gì thì làm.,Ban thich lam gi thi lam.
Thích làm gì thì làm.,Thich lam gi thi lam.
Bạn thích làm gì thì làm.,Ban thich lam gi thi lam.
Thích làm gì thì làm.,Thich lam gi thi lam.
Bạn có sống ở đây không?,Ban co song o day khong?
Đừng có rầu rĩ quá như thế.,Dung co rau ri qua nhu the.
Đừng làm quá lên.,Dung lam qua len.
Đừng có mà làm quá lên.,Dung co ma lam qua len.
Đừng sờ vào cái này.,Dung so vao cai nay.
Mọi người đã đợi.,Moi nguoi da doi.
Mọi người đã chờ đợi.,Moi nguoi da cho doi.
Tất cả mọi người đã chờ đợi.,Tat ca moi nguoi da cho doi.
Tất cả mọi người đều đã chờ đợi.,Tat ca moi nguoi deu da cho doi.
Tất cả mọi người đều đã đợi.,Tat ca moi nguoi deu da doi.
Thượng lộ bình an.,Thuong lo binh an.
Có một chuyến đi an toàn nhé.,Co mot chuyen di an toan nhe.
Anh ấy đã vi phạm pháp luật.,Anh ay da vi pham phap luat.
Anh ta có thể bơi nhanh.,Anh ta co the boi nhanh.
Nó ghét cà rốt.,No ghet ca rot.
Ông ta ghét cà rốt.,Ong ta ghet ca rot.
Hắn ghét cà rốt.,Han ghet ca rot.
Anh ta luôn bận rộn.,Anh ta luon ban ron.
Hãy giúp tôi việc đó.,Hay giup toi viec do.
Hãy giúp tôi làm điều đó.,Hay giup toi lam dieu do.
"Hừm, cái gì đây?","Hum, cai gi day?"
Cầm nó hộ mình.,Cam no ho minh.
Giữ nó cho mình.,Giu no cho minh.
Bạn cao thiệt!,Ban cao thiet!
Công việc của bạn như thế nào?,Cong viec cua ban nhu the nao?
Công việc của mày dư lào?,Cong viec cua may du lao?
tôi không thích nó,toi khong thich no
Tôi không thích anh đâu.,Toi khong thich anh dau.
Tôi cảm thấy bình thường.,Toi cam thay binh thuong.
Tôi cảm thấy rất lạnh.,Toi cam thay rat lanh.
Tôi dậy lúc 6 rưỡi.,Toi day luc 6 ruoi.
Tôi đã dậy lúc 6 giờ 30.,Toi da day luc 6 gio 30.
Tôi ghét hóa học.,Toi ghet hoa hoc.
Có có một ít thời gian.,Co co mot it thoi gian.
Tôi có 2 quyển sách.,Toi co 2 quyen sach.
Tao có 2 quyển sách.,Tao co 2 quyen sach.
Tôi có hai cuốn sách.,Toi co hai cuon sach.
Tôi thích nhạc pop.,Toi thich nhac pop.
Tôi thích nghe nhạc pop.,Toi thich nghe nhac pop.
Tôi thích đi du lịch.,Toi thich di du lich.
Tôi yêu thích thiên văn học.,Toi yeu thich thien van hoc.
Tôi cần thêm thì giờ.,Toi can them thi gio.
Tôi đã trồng một cái cây.,Toi da trong mot cai cay.
Tôi đã nói ra sự thật.,Toi da noi ra su that.
Tôi đi bộ đến trường.,Toi di bo den truong.
Tôi đã thôi lo nghĩ.,Toi da thoi lo nghi.
Tôi đã không lo lắng.,Toi da khong lo lang.
Tôi sẽ bắn nó.,Toi se ban no.
Tôi sẽ bắn hắn.,Toi se ban han.
Tôi sẽ bắn anh ta.,Toi se ban anh ta.
Tôi sẽ không đi.,Toi se khong di.
Tôi không giúp bạn đâu.,Toi khong giup ban dau.
Tôi đã viết cuốn sách.,Toi da viet cuon sach.
Tôi là nhà báo.,Toi la nha bao.
Tôi hay bị mất ngủ.,Toi hay bi mat ngu.
Bây giờ tôi đang ở khách sạn.,Bay gio toi dang o khach san.
Tôi ủng hộ bạn.,Toi ung ho ban.
Tôi đang ăn hoa quả.,Toi dang an hoa qua.
Tớ chuẩn bị chạy.,To chuan bi chay.
Tôi sẽ thử.,Toi se thu.
Tôi sẽ thử xem sao.,Toi se thu xem sao.
Tôi là một người chăm chỉ.,Toi la mot nguoi cham chi.
Tôi bị đau ở chỗ này.,Toi bi dau o cho nay.
Tôi không phải là bác sĩ.,Toi khong phai la bac si.
Tôi thật sự rất xin lỗi.,Toi that su rat xin loi.
Tôi vô cùng xin lỗi.,Toi vo cung xin loi.
Tom ổn chứ?,Tom on chu?
Tom vẫn còn cáu à?,Tom van con cau a?
Kế hoạch đấy à?,Ke hoach day a?
Chó nhà bạn có dữ không?,Cho nha ban co du khong?
Chó của bạn có hung dữ không?,Cho cua ban co hung du khong?
Nó có thể nổ.,No co the no.
Nó khá nóng đấy.,No kha nong day.
Đừng cho chó vào trong.,Dung cho cho vao trong.
Đừng cho chó vào bên trong.,Dung cho cho vao ben trong.
Không được cho chó vào bên trong.,Khong duoc cho cho vao ben trong.
Thử xem nào.,Thu xem nao.
